Time	gauge_0	gauge_1	gauge_2
16.4269	-1e+15	0.0345626	-1e+15
16.436	-1e+15	0.0360918	-1e+15
16.4446	-1e+15	0.0375209	-1e+15
16.4538	-1e+15	0.039015	-1e+15
16.4629	-1e+15	0.0404835	-1e+15
16.4715	-1e+15	0.0418292	-1e+15
16.4807	-1e+15	0.0432287	-1e+15
16.4898	-1e+15	0.0445785	-1e+15
16.499	-1e+15	0.0458764	-1e+15
16.5082	-1e+15	0.0471208	-1e+15
16.5174	-1e+15	0.048309	-1e+15
16.5266	-1e+15	0.0494362	-1e+15
16.5357	-1e+15	0.0504974	-1e+15
16.5449	-1e+15	0.0514883	-1e+15
16.5541	-1e+15	0.0524046	-1e+15
16.5633	-1e+15	0.0532422	-1e+15
16.5725	-1e+15	0.0539982	-1e+15
16.5816	-1e+15	0.0546725	-1e+15
16.5908	-1e+15	0.0552585	-1e+15
16.6	-1e+15	0.0557536	-1e+15
16.6091	-1e+15	0.0561507	-1e+15
16.6182	-1e+15	0.0564516	-1e+15
16.6273	-1e+15	0.0566552	-1e+15
16.6364	-1e+15	0.0567656	-1e+15
16.6455	-1e+15	0.0568041	-1e+15
16.6545	-1e+15	0.0567705	-1e+15
16.6636	-1e+15	0.0566494	-1e+15
16.6727	-1e+15	0.0564306	-1e+15
16.6818	-1e+15	0.0561177	-1e+15
16.6909	-1e+15	0.0557164	-1e+15
16.7	-1e+15	0.0552289	-1e+15
16.7091	-1e+15	0.0546571	-1e+15
16.7182	-1e+15	0.0540033	-1e+15
16.7273	-1e+15	0.0532698	-1e+15
16.7364	-1e+15	0.0524589	-1e+15
16.7455	-1e+15	0.051574	-1e+15
16.7545	-1e+15	0.0506186	-1e+15
16.7636	-1e+15	0.0495987	-1e+15
16.7727	-1e+15	0.0485173	-1e+15
16.7818	-1e+15	0.0473776	-1e+15
16.7909	-1e+15	0.0461832	-1e+15
16.8	-1e+15	0.0449375	-1e+15
16.8091	-1e+15	0.043642	-1e+15
16.8182	-1e+15	0.0422993	-1e+15
16.8273	-1e+15	0.0409121	-1e+15
16.8364	-1e+15	0.0394875	7.26368e-07
16.8455	-1e+15	0.038035	9.83911e-07
16.8545	-1e+15	0.0365595	1.33274e-06
16.8636	-1e+15	0.0350607	1.80106e-06
16.8727	-1e+15	0.0335351	2.44001e-06
16.8818	-1e+15	0.0319877	3.27782e-06
16.8909	-1e+15	0.0304249	5.38883e-06
16.9	-1e+15	0.028859	1.04292e-05
16.9091	-1e+15	0.0273005	1.89899e-05
16.9182	-1e+15	0.0257556	3.21471e-05
16.9273	-1e+15	0.0242217	5.21258e-05
16.9364	-1e+15	0.0227101	8.01168e-05
16.9455	-1e+15	0.0212124	0.000117263
16.9545	-1e+15	0.0197342	0.000164524
16.9636	-1e+15	0.0182873	0.000229934
16.9727	-1e+15	0.0168619	0.000314348
16.9818	-1e+15	0.0154457	0.000414531
16.9909	-1e+15	0.0140224	0.000532795
17	-1e+15	0.0125868	0.000718834
17.0095	-1e+15	0.0110793	0.00100135
17.019	-1e+15	0.00956077	0.00137952
17.0286	-1e+15	0.00809654	0.00184422
17.0381	-1e+15	0.00672156	0.00240998
17.0476	-1e+15	0.00543774	0.00310711
17.0571	-1e+15	0.00423897	0.0041197
17.0667	-1e+15	0.00314455	0.00542646
17.0762	-1e+15	0.00220111	0.00691899
17.0857	-1e+15	0.00154606	0.00851129
17.0952	6.34562e-07	0.00110058	0.0101644
17.1048	9.15428e-07	0.000790106	0.0118511
17.1143	1.28859e-06	0.000564209	0.0135513
17.1238	1.74085e-06	0.000396883	0.0152641
17.1333	2.27437e-06	0.000275102	0.0170128
17.1429	2.90786e-06	0.000184657	0.0188041
17.1524	2.53436e-06	0.000121024	0.0206258
17.1619	-1e+15	7.92778e-05	0.0224824
17.1695	-1e+15	5.68942e-05	0.0239757
17.1771	-1e+15	4.09462e-05	0.0254732
17.1848	1.00936e-05	2.9549e-05	0.0269696
17.1924	2.99514e-05	2.13946e-05	0.0284685
17.2	5.70191e-05	1.5563e-05	0.0299632
17.2083	9.33465e-05	1.10643e-05	0.0315874
17.2175	0.000136547	7.69309e-06	0.0333411
17.2266	0.000181741	5.42622e-06	0.0350588
17.2357	0.000240147	3.88584e-06	0.0367432
17.2448	0.000362959	2.82718e-06	0.038396
17.254	0.000556478	2.08795e-06	0.0400197
17.2631	0.000835924	1.56411e-06	0.0416026
17.2722	0.00118519	1.18705e-06	0.0431349
17.2807	0.00155293	9.27405e-07	0.0445082
17.2893	0.00193662	7.31251e-07	0.0458309
17.2978	0.00234643	5.8156e-07	0.0471026
17.3063	0.00281939	-1e+15	0.0483208
17.3148	0.00347969	-1e+15	0.0494809
17.3233	0.00431343	-1e+15	0.0505777
17.3319	0.00527735	-1e+15	0.0516061
17.3404	0.00632237	-1e+15	0.0525606
17.3489	0.00741529	-1e+15	0.0534367
17.3574	0.00855491	-1e+15	0.0542322
17.3659	0.00975615	-1e+15	0.0549472
17.3744	0.0110915	-1e+15	0.055584
17.383	0.0125327	-1e+15	0.0561389
17.3915	0.0140402	-1e+15	0.0566092
17.4	0.0155872	-1e+15	0.05698
17.4087	0.0172049	-1e+15	0.0572506
17.4174	0.0188505	-1e+15	0.0574279
17.4261	0.0205166	-1e+15	0.0575405
17.4348	0.0221858	-1e+15	0.0575867
17.4435	0.0238593	-1e+15	0.0575578
17.4522	0.0255375	-1e+15	0.0574398
17.4609	0.0272354	-1e+15	0.0572265
17.4696	0.0289396	-1e+15	0.0569236
17.4783	0.0306411	-1e+15	0.0565327
17.487	0.0323181	-1e+15	0.0560584
17.4957	0.0339817	-1e+15	0.0555025
17.5043	0.0356355	-1e+15	0.054867
17.513	0.0372942	-1e+15	0.0541543
17.5217	0.0389399	-1e+15	0.0533668
17.5304	0.0405589	-1e+15	0.0525071
17.5391	0.0421278	-1e+15	0.0515803
17.5478	0.0436544	-1e+15	0.0505942
17.5565	0.0451465	-1e+15	0.0495559
17.5652	0.0466068	-1e+15	0.0484691
17.5739	0.048044	-1e+15	0.0473379
17.5826	0.0494372	-1e+15	0.0461639
17.5913	0.050769	-1e+15	0.0449504
17.6	0.0520262	-1e+15	0.0436959
17.6087	0.0532134	-1e+15	0.0424014
17.6174	0.0543324	-1e+15	0.0410728
17.6261	0.055381	-1e+15	0.0397175
17.6348	0.0563527	-1e+15	0.0383495
17.6435	0.0572471	-1e+15	0.0369719
